condition,model,dataset,split,prompt_format,input_type,target_modality,order,seed,n,correct,misled,neither,p_valid,selectivity,bert_gpt_agreement,n_parse_errors
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_document,inconsistent,text,icq,42,2000,1969,31,0,1.0,0.969,0.983,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_text,inconsistent,text,ciq,42,2000,1589,327,84,0.958,0.658664,0.81,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_text,inconsistent,text,icq,42,2000,1813,172,15,0.9925,0.8267,0.894,0
none,OpenGVLab/InternVL3-14B-hf,mscoco,test,image_caption,text_only,text,icq,42,2000,1996,0,4,0.998,1.0,0.9975,0
none,OpenGVLab/InternVL3-8B-hf,flickr30k,test,image_caption,image_only,image,icq,42,2000,1878,0,122,0.939,1.0,0.9395,0
none,OpenGVLab/InternVL3-8B-hf,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1954,39,7,0.9965,0.960863,0.9685,0
none,OpenGVLab/InternVL3-8B-hf,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1988,11,1,0.9995,0.988994,0.9875,0
none,OpenGVLab/InternVL3-8B-hf,flickr30k,test,image_caption,inconsistent,text,ciq,42,2000,1377,608,15,0.9925,0.387406,0.9685,0
none,OpenGVLab/InternVL3-8B-hf,flickr30k,test,image_caption,inconsistent,text,icq,42,2000,1666,329,5,0.9975,0.670175,0.9505,0
none,OpenGVLab/InternVL3-8B-hf,flickr30k,test,image_caption,text_only,text,icq,42,2000,1984,0,16,0.992,1.0,0.9915,0
none,OpenGVLab/InternVL3-8B-hf,mscoco,test,image_caption,image_only,image,icq,42,2000,1918,0,82,0.959,1.0,0.959,0
none,OpenGVLab/InternVL3-8B-hf,mscoco,test,image_caption,inconsistent,image,ciq,42,2000,1991,8,1,0.9995,0.991996,0.99,0
none,OpenGVLab/InternVL3-8B-hf,mscoco,test,image_caption,inconsistent,image,icq,42,2000,1999,1,0,1.0,0.999,0.9965,0
none,OpenGVLab/InternVL3-8B-hf,mscoco,test,image_caption,inconsistent,text,ciq,42,2000,1096,891,13,0.9935,0.103171,0.9735,0
none,OpenGVLab/InternVL3-8B-hf,mscoco,test,image_caption,inconsistent,text,icq,42,2000,1569,418,13,0.9935,0.579265,0.9485,0
none,OpenGVLab/InternVL3-8B-hf,mscoco,test,image_caption,text_only,text,icq,42,2000,1975,0,25,0.9875,1.0,0.987,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,image_only,image,icq,42,2000,1803,0,197,0.9015,1.0,0.9115,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,image,ciq,42,2000,1953,46,1,0.9995,0.953977,0.961,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_caption,inconsistent,image,icq,42,2000,1976,23,1,0.9995,0.976988,0.9515,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_document,inconsistent,image,ciq,42,2000,1973,26,1,0.9995,0.973987,0.9665,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_document,inconsistent,image,icq,42,2000,1905,94,1,0.9995,0.905953,0.9685,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_text,inconsistent,image,ciq,42,2000,1982,18,0,1.0,0.982,0.963,0
none,Qwen/Qwen2.5-VL-32B-Instruct,flickr30k,test,image_text,inconsistent,image,icq,42,2000,1993,5,2,0.999,0.994995,0.971,0
