model,dataset,intervention,layer_idx,layer_depth,split,seed,arm,target_modality,n,correct,misled,neither,p_valid,selectivity
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,42,intervention,image,100,20,75,5,0.95,-0.578947
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,42,intervention,text,100,30,70,0,1.0,-0.4
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,43,intervention,image,100,23,72,5,0.95,-0.515789
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,43,intervention,text,100,27,73,0,1.0,-0.46
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,44,intervention,image,100,26,70,4,0.96,-0.458333
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,29,0.625,val,44,intervention,text,100,28,71,1,0.99,-0.434343
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,42,intervention,image,100,96,2,2,0.98,0.959184
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,42,intervention,text,100,77,20,3,0.97,0.587629
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,43,intervention,image,100,93,4,3,0.97,0.917526
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,43,intervention,text,100,74,21,5,0.95,0.557895
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,44,intervention,image,100,95,2,3,0.97,0.958763
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,35,0.75,val,44,intervention,text,100,76,20,4,0.96,0.583333
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,42,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,42,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,42,intervention,image,100,89,10,1,0.99,0.79798
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,42,intervention,text,100,51,35,14,0.86,0.186047
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,43,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,43,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,43,intervention,image,100,90,10,0,1.0,0.8
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,43,intervention,text,100,52,32,16,0.84,0.238095
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,44,baseline,image,100,100,0,0,1.0,1.0
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,44,baseline,text,100,78,22,0,1.0,0.56
OpenGVLab_InternVL3-14B-hf,mscoco,baseline_last,41,0.875,val,44,intervention,image,100,89,11,0,1.0,0.78
